offence, state, youth offenders
Homicide and related offences, Northern Territory, 
Acts intended to cause injury, Northern Territory, 
Sexual assault and related offences, Northern Territory, 
Dangerous/negligent acts, Northern Territory, 
Abduction/harassment, Northern Territory, 
Robbery/extortion, Northern Territory, 
Unlawful entry with intent, Northern Territory, 
Theft, Northern Territory, 
Fare evasion, Northern Territory, 
Fraud/deception, Northern Territory, 
Illicit drug offencesWeapons/explosives, Northern Territory, 
Property damage and environmental pollution, Northern Territory, 
Public order offences, Northern Territory, 
Offences against justice, Northern Territory, 
Miscellaneous offences, Northern Territory, 
