offence, state, youth offenders
Homicide and related offences, Queensland, 20
Acts intended to cause injury, Queensland, 2518
Sexual assault and related offences, Queensland, 668
Dangerous/negligent acts, Queensland, 128
Abduction/harassment, Queensland, 8
Robbery/extortion, Queensland, 576
Unlawful entry with intent, Queensland, 1432
Theft, Queensland, 1764
Fare evasion, Queensland, 35
Fraud/deception, Queensland, 130
Illicit drug offences, Queensland, 1490
Weapons/explosives, Queensland,205
Property damage and environmental pollution, Queensland, 704
Public order offences, Queensland, 692
Offences against justice, Queensland, 111
Miscellaneous offences,  Queensland, 37
