offence, state, youth offenders
Homicide and related offences, South Australia, 0
Acts intended to cause injury, South Australia, 611
Sexual assault and related offences, South Australia, 58
Dangerous/negligent acts, South Australia, 5
Abduction/harassment, South Australia, 23
Robbery/extortion, South Australia, 94
Unlawful entry with intent, South Australia,175
Theft, South Australia, 281
Fare evasion, South Australia, 46
Fraud/deception, South Australia, 13
Illicit drug offences, South Australia, 353
Weapons/explosives, South Australia, 156
Property damage and environmental pollution, South Australia, 133
Public order offences, South Australia, 186
Offences against justice, South Australia, 29
Miscellaneous offences, South Australia, 27
