offence, state, youth offenders
Homicide and related offences, Victoria,16
Acts intended to cause injury, Victoria, 2341
Sexual assault and related offences, Victoria, 179
Dangerous/negligent acts, Victoria, 35
Abduction/harassment, Victoria, 169
Robbery/extortion, Victoria, 465
Unlawful entry with intent, Victoria, 414
Theft, Victoria, 1304
Fare evasion, Victoria, 508
Fraud/deception, Victoria, 165
Illicit drug offences, Victoria, 289
Weapons/explosives, Victoria, 456
Property damage and environmental pollution, Victoria, 725
Public order offences, Victoria, 530
Offences against justice, Victoria, 107
Miscellaneous offences,  Victoria, 471
