offence, state, youth offenders
Homicide and related offences, Western Australia, 10
Acts intended to cause injury, Western Australia, 1551
Sexual assault and related offences, Western Australia, 235
Dangerous/negligent acts, Western Australia, 39
Abduction/harassment, Western Australia, 185
Robbery/extortion, Western Australia, 359
Unlawful entry with intent, Western Australia, 1004
Theft, Western Australia, 1088
Fraud/deception, Western Australia, 71
Illicit drug offences, Western Australia, 471
Weapons/explosives, Western Australia, 159
Property damage and environmental pollution, Western Australia, 498
Public order offences, Western Australia, 452
Offences against justice, Western Australia, 112
Miscellaneous offences, Western Australia, 46
